Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Variant SKU,Variant Price,Variant Compare At Price,Variant Weight,Variant Weight Unit,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Collection,Status
datejust-32,Datejust - 32,<p>DATEJUST</p>,Gharyaal,Accessories > Jewelry > Watches,Watches,"luxury,luxury,automatic,super-clone,datejust",TRUE,DATEJUST-32,25000,35000,150,g,TRUE,TRUE,https://gharyaalbytaimour.com/data/images/IMG_2303.jpg,Datejust - 32 - Image 1,,active
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3754.jpg,Datejust - 32 - Image 2,,
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3755.jpg,Datejust - 32 - Image 3,,
datejust-33,Datejust - 33,<p>DATEJUST</p>,Gharyaal,Accessories > Jewelry > Watches,Watches,"luxury,luxury,automatic,super-clone,datejust",TRUE,DATEJUST-33,25000,35000,150,g,TRUE,TRUE,https://gharyaalbytaimour.com/data/images/IMG_2304.jpg,Datejust - 33 - Image 1,,active
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3754.jpg,Datejust - 33 - Image 2,,
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3755.jpg,Datejust - 33 - Image 3,,
datejust-34,Datejust - 34,<p>DATEJUST</p>,Gharyaal,Accessories > Jewelry > Watches,Watches,"luxury,luxury,automatic,super-clone,datejust",TRUE,DATEJUST-34,25000,35000,150,g,TRUE,TRUE,https://gharyaalbytaimour.com/data/images/IMG_2307.jpg,Datejust - 34 - Image 1,,active
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3754.jpg,Datejust - 34 - Image 2,,
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3755.jpg,Datejust - 34 - Image 3,,
datejust-35,Datejust - 35,<p>DATEJUST</p>,Gharyaal,Accessories > Jewelry > Watches,Watches,"luxury,luxury,automatic,super-clone,datejust",TRUE,DATEJUST-35,25000,35000,150,g,TRUE,TRUE,https://gharyaalbytaimour.com/data/images/IMG_2308.jpg,Datejust - 35 - Image 1,,active
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3754.jpg,Datejust - 35 - Image 2,,
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3755.jpg,Datejust - 35 - Image 3,,
datejust-36,Datejust - 36,<p>DATEJUST</p>,Gharyaal,Accessories > Jewelry > Watches,Watches,"luxury,luxury,automatic,super-clone,datejust",TRUE,DATEJUST-36,25000,35000,150,g,TRUE,TRUE,https://gharyaalbytaimour.com/data/images/IMG_2309.jpg,Datejust - 36 - Image 1,,active
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3754.jpg,Datejust - 36 - Image 2,,
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3755.jpg,Datejust - 36 - Image 3,,
datejust-37,Datejust - 37,<p>DATEJUST</p>,Gharyaal,Accessories > Jewelry > Watches,Watches,"luxury,luxury,automatic,super-clone,datejust",TRUE,DATEJUST-37,25000,35000,150,g,TRUE,TRUE,https://gharyaalbytaimour.com/data/images/IMG_2310.jpg,Datejust - 37 - Image 1,,active
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3754.jpg,Datejust - 37 - Image 2,,
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3755.jpg,Datejust - 37 - Image 3,,
